,Unnamed: 0,country_a,country_b,similarity,country_a_name,country_b_name
264,264,mx,cl,0.382218148487626,Mexico,Chile
265,265,mx,ec,0.5057591623036649,Mexico,Ecuador
266,266,mx,hk,0.1124260355029586,Mexico,Hong Kong
267,267,mx,jp,0.10191925876902712,Mexico,Japan
268,268,mx,ni,0.400990099009901,Mexico,Nicaragua
269,269,mx,pt,0.16325136612021854,Mexico,Portugal
270,270,mx,tr,0.09672727272727273,Mexico,Turkey
271,271,mx,au,0.11054958938723942,Mexico,Australia
272,272,mx,co,0.4768472906403941,Mexico,Colombia
273,273,mx,ee,0.10696378830083564,Mexico,Estonia
274,274,mx,hn,0.5353430353430353,Mexico,Honduras
275,275,mx,lt,0.11477210323997805,Mexico,Lithuania
276,276,mx,nl,0.08861386138613861,Mexico,Netherlands
277,277,mx,py,0.3906844106463878,Mexico,Paraguay
278,278,mx,tw,0.08790623335109217,Mexico,Taiwan
279,279,mx,be,0.10415542363734484,Mexico,Belgium
280,280,mx,cr,0.4936585365853658,Mexico,Costa Rica
281,281,mx,es,0.3180451127819549,Mexico,Spain
282,282,mx,hu,0.12320574162679425,Mexico,Hungary
283,283,mx,lu,0.1033138401559454,Mexico,Luxembourg
284,284,mx,no,0.09208400646203553,Mexico,Norway
285,285,mx,ro,0.12,Mexico,Romania
286,286,mx,us,0.101958814665997,Mexico,United States
287,287,mx,bg,0.11414527580557073,Mexico,Bulgaria
288,288,mx,cy,0.13046192259675407,Mexico,Cyprus
289,289,mx,fi,0.08197507190795783,Mexico,Finland
290,290,mx,id,0.12275215011727912,Mexico,Indonesia
291,291,mx,lv,0.10656682027649768,Mexico,Latvia
292,292,mx,nz,0.11197411003236246,Mexico,New Zealand
293,293,mx,se,0.08423645320197044,Mexico,Sweden
294,294,mx,uy,0.3552188552188552,Mexico,Uruguay
295,295,mx,bo,0.5173824130879345,Mexico,Bolivia
296,296,mx,cz,0.1124780316344464,Mexico,Czech Republic
297,297,mx,fr,0.0728667305848514,Mexico,France
298,298,mx,ie,0.0993681792073521,Mexico,Ireland
299,299,mx,pa,0.4136403897254207,Mexico,Panama
300,300,mx,sg,0.12005551700208188,Mexico,Singapore
301,301,mx,vn,0.1029113067027759,Mexico,Vietnam
302,302,mx,br,0.1133720930232558,Mexico,Brazil
303,303,mx,de,0.08044901777362021,Mexico,Germany
304,304,mx,gb,0.09656301145662848,Mexico,United Kingdom
305,305,mx,il,0.1279317697228145,Mexico,Israel
306,306,mx,mt,0.2026266416510319,Mexico,Malta
307,307,mx,pe,0.44466800804828976,Mexico,Peru
308,308,mx,sk,0.1134361233480176,Mexico,Slovakia
309,309,mx,global,0.2020631067961165,Mexico,Global
310,310,ph,ca,0.2335468841001747,Philippines,Canada
311,311,ph,dk,0.19489559164733175,Philippines,Denmark
312,312,ph,gr,0.2346813725490196,Philippines,Greece
313,313,ph,is,0.16873589164785552,Philippines,Iceland
314,314,ph,mx,0.11800766283524905,Philippines,Mexico
315,315,ph,ph,1.0,Philippines,Philippines
316,316,ph,sv,0.1452471482889734,Philippines,El Salvador
317,317,ph,ar,0.09326788218793827,Philippines,Argentina
318,318,ph,ch,0.15285714285714286,Philippines,Switzerland
319,319,ph,do,0.11284840244731476,Philippines,Dominican Republic
320,320,ph,gt,0.13056163384390956,Philippines,Guatemala
321,321,ph,it,0.11180124223602483,Philippines,Italy
322,322,ph,my,0.4024291497975708,Philippines,Malaysia
323,323,ph,pl,0.18780788177339905,Philippines,Poland
324,324,ph,th,0.2925642807505212,Philippines,Thailand
325,325,ph,at,0.17278043593833067,Philippines,Austria
326,326,ph,cl,0.0696551724137931,Philippines,Chile
327,327,ph,ec,0.09137803979366248,Philippines,Ecuador
328,328,ph,hk,0.34914463452566097,Philippines,Hong Kong
329,329,ph,jp,0.2332129963898917,Philippines,Japan
330,330,ph,ni,0.1053968253968254,Philippines,Nicaragua
331,331,ph,pt,0.262472885032538,Philippines,Portugal
332,332,ph,tr,0.10548823948681398,Philippines,Turkey
333,333,ph,au,0.2845934379457917,Philippines,Australia
334,334,ph,co,0.1053763440860215,Philippines,Colombia
335,335,ph,ee,0.24311083894672386,Philippines,Estonia
336,336,ph,hn,0.14977307110438728,Philippines,Honduras
337,337,ph,lt,0.236873508353222,Philippines,Lithuania
338,338,ph,nl,0.16226023846552615,Philippines,Netherlands
339,339,ph,py,0.08034433285509325,Philippines,Paraguay
340,340,ph,tw,0.2575392038600724,Philippines,Taiwan
341,341,ph,be,0.2026482440990213,Philippines,Belgium
342,342,ph,cr,0.1565025716385011,Philippines,Costa Rica
343,343,ph,es,0.13670886075949368,Philippines,Spain
344,344,ph,hu,0.2506510416666667,Philippines,Hungary
345,345,ph,lu,0.18856259659969088,Philippines,Luxembourg
346,346,ph,no,0.20828471411901986,Philippines,Norway
347,347,ph,ro,0.2480769230769231,Philippines,Romania
348,348,ph,us,0.1975374732334047,Philippines,United States
349,349,ph,bg,0.2281839622641509,Philippines,Bulgaria
350,350,ph,cy,0.2733516483516483,Philippines,Cyprus
351,351,ph,fi,0.1581067472306143,Philippines,Finland
352,352,ph,id,0.3228980322003578,Philippines,Indonesia
353,353,ph,lv,0.2422517394054396,Philippines,Latvia
354,354,ph,nz,0.2788671023965142,Philippines,New Zealand
355,355,ph,se,0.16875,Philippines,Sweden
356,356,ph,uy,0.09036939313984167,Philippines,Uruguay
357,357,ph,bo,0.10893246187363836,Philippines,Bolivia
358,358,ph,cz,0.2385204081632653,Philippines,Czech Republic
359,359,ph,fr,0.09558117195004803,Philippines,France
360,360,ph,ie,0.2504792332268371,Philippines,Ireland
361,361,ph,pa,0.14856341976173792,Philippines,Panama
362,362,ph,sg,0.4150298889837746,Philippines,Singapore
363,363,ph,vn,0.3365307753796962,Philippines,Vietnam
364,364,ph,br,0.12903225806451613,Philippines,Brazil
365,365,ph,de,0.14501216545012166,Philippines,Germany
366,366,ph,gb,0.22420989862850327,Philippines,United Kingdom
367,367,ph,il,0.23018867924528305,Philippines,Israel
368,368,ph,mt,0.2602564102564103,Philippines,Malta
369,369,ph,pe,0.07641921397379912,Philippines,Peru
370,370,ph,sk,0.22479240806642944,Philippines,Slovakia
371,371,ph,global,0.2532507739938081,Philippines,Global
372,372,sv,ca,0.12872340425531914,El Salvador,Canada
373,373,sv,dk,0.1067024128686327,El Salvador,Denmark
374,374,sv,gr,0.14132278123233466,El Salvador,Greece
