,Position,Track Name,Artist,Streams,date,region,id,date_from,date_to,valence
7617,18,Kill This Love,BLACKPINK,48588,2019-06-14--2019-06-21,hk,4pUCKHjJ4Ijewc37rRrvHn,2019-06-14,2019-06-21,0.58
7618,19,7 rings,Ariana Grande,47192,2019-06-14--2019-06-21,hk,6ocbgoVGwYJhOv1GgI9NsF,2019-06-14,2019-06-21,0.327
7619,20,Old Town Road (feat. Billy Ray Cyrus) - Remix,Lil Nas X,46648,2019-06-14--2019-06-21,hk,6u7jPi22kF8CTQ3rb9DHE7,2019-06-14,2019-06-21,0.639
7620,21,Find U Again (feat. Camila Cabello),Mark Ronson,45313,2019-06-14--2019-06-21,hk,1HpzOCZbNWzxvvXfSGtSrX,2019-06-14,2019-06-21,0.164
7621,22,Shallow,Lady Gaga,44621,2019-06-14--2019-06-21,hk,2VxeLyX666F8uXCJ0dZF8B,2019-06-14,2019-06-21,0.323
7622,23,On My Way,Alan Walker,44519,2019-06-14--2019-06-21,hk,4n7jnSxVLd8QioibtTDBDq,2019-06-14,2019-06-21,0.297
7623,24,No Guidance (feat. Drake),Chris Brown,43578,2019-06-14--2019-06-21,hk,7FEwp8BavoEVE3AnxJDchc,2019-06-14,2019-06-21,0.137
7624,25,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,43314,2019-06-14--2019-06-21,hk,543bCW2ruMPmxUBWirQ3MR,2019-06-14,2019-06-21,0.607
7625,26,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,42106,2019-06-14--2019-06-21,hk,3KkXRkHbMCARz0aVfEt68P,2019-06-14,2019-06-21,0.913
7626,27,SOS (feat. Aloe Blacc),Avicii,41752,2019-06-14--2019-06-21,hk,2x0RZdkZcD8QRI53XT4GI5,2019-06-14,2019-06-21,0.376
7627,28,Money In The Grave (Drake ft. Rick Ross),Drake,41424,2019-06-14--2019-06-21,hk,5ry2OE6R2zPQFDO85XkgRb,2019-06-14,2019-06-21,0.101
7628,29,EARFQUAKE,"Tyler, The Creator",40265,2019-06-14--2019-06-21,hk,5hVghJ4KaYES3BFUATCYn0,2019-06-14,2019-06-21,0.413
7629,30,The London (feat. J. Cole & Travis Scott),Young Thug,38984,2019-06-14--2019-06-21,hk,7DcvwMAiqKJQD1rrdfxSDx,2019-06-14,2019-06-21,0.179
7630,31,Sanctuary,Joji,38366,2019-06-14--2019-06-21,hk,3xaugmCyXrVkrDTXbFkMW3,2019-06-14,2019-06-21,0.316
7631,32,Dream Glow (BTS World Original Soundtrack) - Pt. 1,BTS,38212,2019-06-14--2019-06-21,hk,4c1WgUnHXq2LEncGHKgj1I,2019-06-14,2019-06-21,0.541
7632,33,百年樹木,Hins Cheung,37512,2019-06-14--2019-06-21,hk,5ql4tlxS3GtADNsSRi2GnW,2019-06-14,2019-06-21,0.343
7633,34,Easier,5 Seconds of Summer,36688,2019-06-14--2019-06-21,hk,4tNXntkAzQ5A2dfYRYGIIQ,2019-06-14,2019-06-21,0.618
7634,35,其實寂寞,Kay Tse,36543,2019-06-14--2019-06-21,hk,4qOQcgfSAV2XuoJ55TYSaS,2019-06-14,2019-06-21,0.61
7635,36,有一種悲傷 - 電影《比悲傷更悲傷的故事》主題曲,A-Lin,36494,2019-06-14--2019-06-21,hk,6iNH42q8haGYDYGhKK6XiJ,2019-06-14,2019-06-21,0.37
7636,37,BIRTHDAY,SOMI,36006,2019-06-14--2019-06-21,hk,3jsWXhE5NuPWQ4IHplv2zt,2019-06-14,2019-06-21,0.597
7637,38,Shape of You,Ed Sheeran,34787,2019-06-14--2019-06-21,hk,7qiZfU4dY1lWllzX7mPBI3,2019-06-14,2019-06-21,0.931
7638,39,空手而來,Hins Cheung,34604,2019-06-14--2019-06-21,hk,2YbdCSdvofWc2g277AUOwD,2019-06-14,2019-06-21,0.227
7639,40,春秋,Hins Cheung,34464,2019-06-14--2019-06-21,hk,2WVbMoHdWCspdiEa7OnG1D,2019-06-14,2019-06-21,0.501
7640,41,Who Do You Love,The Chainsmokers,33911,2019-06-14--2019-06-21,hk,5QiNbIilmMiMBXvaAlf7lN,2019-06-14,2019-06-21,0.435
7641,42,Something Just Like This,The Chainsmokers,33435,2019-06-14--2019-06-21,hk,6RUKPb4LETWmmr3iAEQktW,2019-06-14,2019-06-21,0.446
7642,43,Prince Ali,Will Smith,33075,2019-06-14--2019-06-21,hk,1Pt2STlAgfB1CiEV8mf3CN,2019-06-14,2019-06-21,0.365
7643,44,Mother's Daughter,Miley Cyrus,32820,2019-06-14--2019-06-21,hk,2WyRfGeHo97VC5mP1BBSzr,2019-06-14,2019-06-21,0.528
7644,45,Talk (feat. Disclosure),Khalid,32319,2019-06-14--2019-06-21,hk,6TqXcAFInzjp0bODyvrWEq,2019-06-14,2019-06-21,0.346
7645,46,Perfect,Ed Sheeran,31934,2019-06-14--2019-06-21,hk,0tgVpDi06FyKpA1z0VMD4v,2019-06-14,2019-06-21,0.168
7646,47,寂寞就如,Juno Mak,31336,2019-06-14--2019-06-21,hk,6npOpd3seRhoTPGOsFPKaX,2019-06-14,2019-06-21,0.284
7647,48,Sweet but Psycho,Ava Max,31123,2019-06-14--2019-06-21,hk,25sgk305KZfyuqVBQIahim,2019-06-14,2019-06-21,0.628
7648,49,櫻花樹下,Hins Cheung,30728,2019-06-14--2019-06-21,hk,2FgDWCqMCIAATvqr9ozeYm,2019-06-14,2019-06-21,0.36
7649,50,告白氣球,Jay Chou,30692,2019-06-14--2019-06-21,hk,1ivCIgrYZyE0BvItL4Z8lk,2019-06-14,2019-06-21,0.448
7650,51,說散就散,JC 陳泳彤,30608,2019-06-14--2019-06-21,hk,3CE1HoJJ0FVKo7JHsWIuvC,2019-06-14,2019-06-21,0.375
7651,52,FANCY,TWICE,29926,2019-06-14--2019-06-21,hk,2FXd6kKCtBIc6UfN1gH1pA,2019-06-14,2019-06-21,0.775
7652,53,"thank u, next",Ariana Grande,29241,2019-06-14--2019-06-21,hk,3e9HZxeyfWwjeyPAMmWSSQ,2019-06-14,2019-06-21,0.412
7653,54,怎麼了,Eric Chou,29099,2019-06-14--2019-06-21,hk,2IAumRplFr0Ns09kKgt2je,2019-06-14,2019-06-21,0.263
7654,55,A Brand New Day (BTS World Original Soundtrack) [Pt. 2],BTS,29020,2019-06-14--2019-06-21,hk,5XkyZyKMdFungjDb9cUKc3,2019-06-14,2019-06-21,0.704
